drug1	drug2	Label
DB01370	DB01047	3
DB08938	DB00588	3
DB01370	DB00860	3
DB06723	DB00663	3
DB09104	DB00959	3
DB09104	DB00896	3
DB06724	DB00873	3
DB01370	DB00591	3
DB01370	DB00596	3
DB09104	DB00655	3
DB01377	DB01708	3
DB09104	DB00873	3
DB03754	DB00324	3
DB13595	DB00620	3
DB09275	DB08970	3
DB09275	DB08971	3
DB01390	DB01047	3
DB01390	DB01130	3
DB03754	DB00288	3
DB01377	DB08905	3
DB01377	DB08906	3
DB08938	DB01380	3
DB06723	DB00764	3
DB08938	DB01384	3
DB09275	DB00240	3
DB01377	DB01260	3
DB09281	DB01708	3
DB06724	DB00655	3
DB08938	DB02187	3
DB01370	DB00288	3
DB01370	DB00324	3
DB01370	DB13158	3
DB09281	DB00253	3
DB01390	DB02187	3
DB09275	DB00394	3
DB09281	DB01380	3
DB06723	DB00896	3
DB09281	DB01384	3
DB09275	DB00620	3
DB01370	DB01222	3
DB01390	DB01222	3
DB13595	DB00838	3
DB01390	DB01380	3
DB01390	DB01384	3
DB09281	DB00959	3
DB01390	DB00253	3
DB09275	DB00764	3
DB13595	DB00288	3
DB08938	DB01013	3
DB09281	DB00223	3
DB03754	DB00620	3
DB09104	DB00588	3
DB09281	DB00655	3
DB06723	DB00394	3
DB09281	DB13158	3
DB08938	DB00635	3
DB01390	DB00959	3
DB06723	DB00547	3
DB09275	DB01047	3
DB01377	DB01047	3
DB06723	DB00620	3
DB06724	DB00838	3
DB09104	DB00635	3
DB09104	DB00223	3
DB01377	DB01013	3
DB08938	DB00443	3
DB06723	DB00635	3
DB01377	DB00846	3
DB09104	DB01234	3
DB13595	DB00959	3
DB09104	DB00838	3
DB01370	DB00959	3
DB03754	DB00240	3
DB08938	DB00873	3
DB01370	DB01013	3
DB06723	DB02187	3
DB08938	DB01222	3
DB01377	DB01222	3
DB09104	DB02187	3
DB06724	DB01013	3
DB01377	DB00655	3
DB08938	DB01234	3
DB09275	DB00846	3
DB09275	DB00663	3
DB03754	DB00764	3
DB13595	DB00655	3
DB01370	DB00394	3
DB01370	DB00253	3
DB09281	DB00687	3
DB09275	DB01130	3
DB09281	DB00663	3
DB06723	DB00873	3
DB03754	DB08970	3
DB03754	DB00588	3
DB09275	DB00443	3
DB01390	DB00741	3
DB09275	DB02187	3
DB06724	DB00764	3
DB01390	DB00620	3
DB01390	DB00588	3
DB06723	DB04574	3
DB09281	DB00180	3
DB09104	DB00547	3
DB06724	DB01708	3
DB03754	DB00663	3
DB09104	DB01013	3
DB03754	DB01047	3
DB09275	DB01410	3
DB13595	DB00223	3
DB09281	DB00860	3
DB01390	DB00443	3
DB01377	DB00240	3
DB13595	DB00873	3
DB01377	DB00324	3
DB08938	DB00741	3
DB09281	DB11921	3
DB08938	DB00180	3
DB01390	DB01260	3
DB13595	DB08970	3
DB13595	DB08971	3
DB01390	DB13158	3
DB09104	DB00288	3
DB01377	DB00687	3
DB13595	DB01260	3
DB13595	DB01013	3
DB08938	DB00838	3
DB09275	DB00896	3
DB13595	DB11921	3
DB06724	DB00588	3
DB06723	DB06786	3
DB09275	DB06781	3
DB06724	DB01410	3
DB09275	DB06786	3
DB06723	DB06781	3
DB01390	DB00846	3
DB08938	DB00240	3
DB13595	DB08905	3
DB06724	DB00860	3
DB09104	DB00764	3
DB03754	DB01130	3
DB01377	DB00394	3
DB09281	DB00764	3
DB01377	DB00860	3
DB09104	DB01260	3
DB09104	DB00846	3
DB03754	DB00443	3
DB01390	DB00591	3
DB08938	DB00846	3
DB09275	DB08906	3
DB09275	DB08905	3
DB01370	DB00687	3
DB03754	DB02187	3
DB09104	DB08971	3
DB09104	DB08970	3
DB06724	DB09091	3
DB06724	DB00180	3
DB01370	DB02187	3
DB01390	DB00663	3
DB00375	DB01118	3
DB06723	DB01013	3
DB03754	DB06786	3
DB01390	DB00547	3
DB03754	DB01410	3
DB06723	DB01380	3
DB06724	DB00240	3
DB06723	DB01384	3
DB08938	DB11921	3
DB08938	DB01260	3
DB13595	DB00764	3
DB03754	DB00846	3
DB01390	DB01410	3
DB09275	DB01708	3
DB09275	DB00873	3
DB13595	DB00687	3
DB01370	DB01234	3
DB01390	DB01234	3
DB09281	DB00288	3
DB03754	DB01384	3
DB03754	DB01380	3
DB06723	DB00846	3
DB06724	DB00288	3
DB01390	DB00896	3
DB01390	DB00240	3
DB09281	DB02187	3
DB03754	DB01708	3
DB03754	DB11921	3
DB13595	DB00547	3
DB09104	DB01047	3
DB06723	DB00838	3
DB09281	DB00547	3
DB03754	DB00655	3
DB08938	DB01410	3
DB03754	DB04574	3
DB09281	DB00620	3
DB01390	DB00394	3
DB13595	DB01222	3
DB13595	DB01384	3
DB13595	DB01380	3
DB13595	DB00324	3
DB09281	DB04574	3
DB01377	DB01130	3
DB09281	DB00896	3
DB08938	DB00288	3
DB08938	DB00324	3
DB06723	DB08906	3
DB13595	DB01708	3
DB08938	DB01130	3
DB09104	DB06781	3
DB08938	DB00959	3
DB09104	DB06786	3
DB06723	DB01234	3
DB09104	DB01222	3
DB01390	DB09091	3
DB01390	DB09095	3
DB09104	DB13158	3
DB09275	DB01222	3
DB06723	DB00443	3
DB01370	DB01380	3
DB01390	DB04574	3
DB01370	DB01384	3
DB13595	DB09095	3
DB01377	DB08971	3
DB13595	DB09091	3
DB01390	DB01708	3
DB01370	DB01410	3
DB13595	DB02187	3
DB09104	DB04574	3
DB03754	DB00873	3
DB01370	DB00663	3
DB06724	DB08906	3
DB08938	DB00687	3
DB09281	DB00873	3
DB01370	DB00635	3
DB03754	DB00180	3
DB09275	DB00288	3
DB01377	DB00663	3
DB01370	DB08971	3
DB09104	DB01708	3
DB09275	DB00655	3
DB01370	DB01708	3
DB06723	DB09091	3
DB01370	DB00240	3
DB09275	DB00838	3
DB09104	DB00240	3
DB03754	DB08906	3
DB03754	DB08905	3
DB01370	DB00180	3
DB06723	DB00741	3
DB03754	DB00596	3
DB03754	DB00591	3
DB06723	DB00180	3
DB06723	DB01047	3
DB01390	DB00596	3
DB13595	DB00394	3
DB06724	DB09095	3
DB06724	DB06781	3
DB13595	DB00588	3
DB06724	DB06786	3
DB09104	DB01410	3
DB06724	DB02187	3
DB01390	DB00324	3
DB01370	DB08906	3
DB01370	DB08905	3
DB01370	DB00741	3
DB01377	DB00443	3
DB09275	DB01013	3
DB06723	DB00240	3
DB01377	DB01380	3
DB09275	DB00547	3
DB13595	DB00860	3
DB01377	DB00253	3
DB09104	DB00687	3
DB13595	DB00180	3
DB01390	DB00687	3
DB01377	DB00764	3
DB03754	DB01222	3
DB01370	DB06786	3
DB08938	DB00655	3
DB01370	DB06781	3
DB08938	DB01708	3
DB09275	DB01260	3
DB01390	DB01013	3
DB08938	DB08970	3
DB01377	DB00959	3
DB06724	DB00959	3
DB01377	DB00896	3
DB01377	DB00596	3
DB06723	DB09095	3
DB06723	DB08905	3
DB08938	DB00253	3
DB01390	DB00873	3
DB03754	DB08971	3
DB01390	DB06786	3
DB01370	DB04574	3
DB09104	DB11921	3
DB09275	DB13158	3
DB06724	DB00635	3
DB01377	DB00873	3
DB13595	DB13158	3
DB06723	DB01260	3
DB01377	DB00620	3
DB01377	DB00741	3
DB09281	DB01013	3
DB01377	DB06781	3
DB06723	DB08971	3
DB06723	DB08970	3
DB08938	DB00223	3
DB01370	DB00443	3
DB01370	DB00838	3
DB01390	DB00655	3
DB09281	DB01234	3
DB01370	DB00655	3
DB06723	DB01410	3
DB01390	DB08970	3
DB01390	DB08971	3
DB03754	DB01013	3
DB09275	DB00687	3
DB01377	DB13158	3
DB03754	DB00547	3
DB03754	DB00394	3
DB03754	DB00838	3
DB01370	DB00620	3
DB09275	DB00860	3
DB13595	DB04574	3
DB06723	DB00288	3
DB09281	DB00838	3
DB06723	DB00324	3
DB09275	DB00588	3
DB00415	DB00335	3
DB09275	DB00741	3
DB06724	DB00741	3
DB06723	DB01130	3
DB01370	DB08970	3
DB06724	DB00620	3
DB03754	DB01260	3
DB13595	DB01410	3
DB09104	DB01130	3
DB13595	DB08906	3
DB09281	DB00635	3
DB09281	DB00741	3
DB01377	DB09095	3
DB03754	DB09091	3
DB13595	DB01234	3
DB03754	DB09095	3
DB09104	DB00394	3
DB09281	DB00846	3
DB01390	DB00838	3
DB09281	DB00591	3
DB09281	DB00596	3
DB01377	DB00223	3
DB06724	DB08970	3
DB06724	DB08971	3
DB01370	DB00764	3
DB01377	DB01384	3
DB09104	DB00324	3
DB09281	DB00443	3
DB08938	DB13158	3
DB13595	DB00253	3
DB08938	DB09091	3
DB13595	DB01047	3
DB08938	DB09095	3
DB01377	DB01410	3
DB01377	DB00838	3
DB06723	DB01222	3
DB08938	DB00663	3
DB01377	DB00591	3
DB09275	DB01234	3
DB06724	DB00223	3
DB06724	DB01222	3
DB01370	DB00846	3
DB09281	DB08906	3
DB09104	DB00663	3
DB09281	DB08905	3
DB06724	DB01380	3
DB06724	DB01384	3
DB01370	DB00873	3
DB06724	DB00253	3
DB08938	DB00591	3
DB08938	DB00596	3
DB06724	DB00846	3
DB00615	DB01435	4
DB00252	DB00199	4
DB00615	DB00869	4
DB01154	DB09227	4
DB01045	DB06736	4
DB00615	DB00865	4
DB01320	DB06770	4
DB01320	DB06772	4
DB01320	DB06777	4
DB00615	DB00862	4
DB00252	DB08877	4
DB00564	DB08906	4
DB00607	DB00622	4
DB01320	DB01621	4
DB00564	DB12483	4
DB00794	DB00495	4
DB00794	DB00496	4
DB00794	DB00497	4
DB01174	DB00835	4
DB01045	DB06737	4
DB01174	DB00836	4
DB01045	DB06403	4
DB00794	DB00498	4
DB00794	DB00499	4
DB00312	DB00755	4
DB00238	DB01349	4
DB00794	DB00656	4
DB01045	DB08439	4
DB01174	DB01409	4
DB00794	DB00655	4
DB00794	DB01708	4
DB01201	DB11614	4
DB01201	DB00997	4
DB01201	DB00991	4
DB00312	DB06770	4
DB00312	DB00193	4
DB00238	DB00153	4
DB01320	DB00808	4
DB00564	DB00655	4
DB01045	DB01551	4
DB00564	DB00656	4
DB00312	DB09236	4
DB00312	DB00448	4
DB00312	DB00199	4
DB00312	DB06772	4
DB01045	DB01558	4
DB01045	DB01559	4
DB00564	DB06772	4
DB01045	DB08828	4
DB00607	DB01244	4
DB00673	DB00812	4
DB00238	DB08918	4
DB00849	DB00924	4
DB00312	DB04946	4
DB01351	DB00091	4
DB01174	DB00904	4
DB01174	DB00907	4
DB01174	DB00906	4
DB00794	DB01221	4
DB00312	DB01062	4
DB00252	DB00759	4
DB01045	DB01708	4
DB01045	DB06282	4
DB00418	DB01259	4
DB00564	DB01177	4
DB01045	DB08910	4
DB00794	DB00843	4
DB01201	DB01008	4
DB01201	DB01009	4
DB01201	DB09297	4
DB00312	DB11613	4
DB01201	DB01002	4
DB00252	DB00481	4
DB01201	DB01006	4
DB00794	DB09230	4
DB01220	DB00682	4
DB00238	DB01006	4
DB01320	DB01349	4
DB00794	DB08992	4
DB01351	DB00540	4
DB00165	DB00849	4
DB00252	DB00567	4
DB01351	DB00543	4
DB00673	DB06737	4
DB00673	DB06736	4
DB00559	DB01076	4
DB00418	DB00188	4
DB01154	DB00316	4
DB00564	DB00842	4
DB01045	DB01392	4
DB01351	DB01151	4
DB00418	DB00091	4
DB01045	DB01396	4
DB00418	DB00544	4
DB00615	DB01194	4
DB00418	DB00549	4
DB00418	DB00936	4
DB00252	DB08893	4
DB00312	DB04743	4
DB00252	DB00177	4
DB00474	DB09289	4
DB00794	DB06708	4
DB00312	DB00531	4
DB01045	DB01173	4
DB00564	DB00503	4
DB00564	DB00502	4
DB00607	DB09090	4
DB01201	DB01708	4
DB00238	DB01200	4
DB01201	DB01136	4
DB01320	DB00987	4
DB01320	DB00980	4
DB01201	DB01131	4
DB01201	DB01132	4
DB01320	DB00983	4
DB00238	DB00332	4
DB00794	DB00490	4
DB01174	DB01435	4
DB01201	DB01138	4
DB00312	DB00906	4
DB00252	DB06145	4
DB00252	DB06144	4
DB00418	DB00328	4
DB00418	DB01544	4
DB00418	DB00327	4
DB01174	DB01183	4
DB00418	DB00321	4
DB09280	DB00674	4
DB00564	DB01431	4
DB00615	DB08877	4
DB00564	DB01435	4
DB00312	DB00224	4
DB00312	DB00227	4
DB01045	DB01085	4
DB00312	DB00997	4
DB00312	DB00220	4
DB00564	DB00433	4
DB00418	DB00916	4
DB00564	DB01218	4
DB00564	DB01219	4
DB00312	DB09227	4
DB01201	DB00193	4
DB00794	DB01065	4
DB01201	DB00199	4
DB00564	DB01215	4
DB01201	DB00356	4
DB00794	DB00812	4
DB00564	DB00347	4
DB00564	DB00346	4
DB00564	DB00344	4
DB00794	DB00818	4
DB00238	DB01114	4
DB00564	DB00349	4
DB00794	DB09289	4
DB00238	DB01110	4
DB01201	DB00359	4
DB01201	DB00358	4
DB01320	DB01002	4
DB00794	DB06725	4
DB01201	DB01222	4
DB00238	DB00425	4
DB01320	DB01006	4
DB00238	DB00420	4
DB01201	DB01227	4
DB00400	DB00890	4
DB01201	DB01229	4
DB00238	DB05351	4
DB01320	DB01009	4
DB00794	DB01075	4
DB00794	DB01074	4
DB00794	DB01076	4
DB00252	DB00757	4
DB01220	DB00849	4
DB00165	DB01351	4
DB00418	DB01124	4
DB00165	DB01355	4
DB00794	DB00977	4
DB00252	DB00724	4
DB01355	DB07615	4
DB00794	DB01431	4
DB00312	DB09078	4
DB00252	DB00794	4
DB00794	DB00799	4
DB00252	DB00796	4
DB00564	DB00361	4
DB01201	DB09026	4
DB00615	DB01095	4
DB01174	DB00589	4
DB01174	DB00588	4
DB00238	DB01431	4
DB01174	DB00234	4
DB00615	DB00726	4
DB00418	DB00918	4
DB01174	DB00231	4
DB09280	DB00240	4
DB00564	DB06803	4
DB00794	DB00250	4
DB00559	DB00227	4
DB01174	DB00584	4
DB09280	DB00246	4
DB01174	DB00238	4
DB00238	DB01069	4
DB01045	DB01129	4
DB00615	DB01129	4
DB01045	DB06145	4
DB00794	DB05351	4
DB00238	DB00184	4
DB00165	DB00599	4
DB01320	DB01179	4
DB01045	DB04930	4
DB01320	DB01177	4
DB01201	DB13874	4
DB01320	DB01175	4
DB00615	DB09396	4
DB00238	DB01067	4
DB01320	DB01171	4
DB00238	DB01192	4
DB00252	DB00665	4
DB01174	DB04930	4
DB00418	DB01054	4
DB00312	DB06144	4
DB00312	DB06145	4
DB01174	DB04938	4
DB00794	DB00936	4
DB00474	DB00316	4
DB01045	DB00332	4
DB01045	DB00622	4
DB01045	DB00337	4
DB01045	DB00624	4
DB00312	DB00440	4
DB01174	DB01050	4
DB01045	DB00628	4
DB01174	DB01588	4
DB01174	DB01054	4
DB00238	DB01229	4
DB00238	DB09262	4
DB01201	DB00778	4
DB00312	DB09101	4
DB09280	DB08868	4
DB00615	DB00617	4
DB01154	DB01418	4
DB00238	DB01062	4
DB00615	DB00612	4
DB00238	DB06267	4
DB00238	DB00637	4
DB00238	DB00636	4
DB00794	DB01151	4
DB00564	DB00753	4
DB01201	DB01319	4
DB01201	DB00177	4
DB00794	DB01283	4
DB01201	DB00175	4
DB00615	DB01128	4
DB00599	DB01151	4
DB00400	DB00783	4
DB01320	DB00751	4
DB00615	DB01236	4
DB01320	DB00753	4
DB01320	DB00755	4
DB00252	DB00925	4
DB01320	DB00757	4
DB01320	DB11828	4
DB01320	DB00759	4
DB01320	DB01248	4
DB00794	DB06145	4
DB00252	DB00924	4
DB01045	DB00759	4
DB00615	DB01587	4
DB00252	DB00575	4
DB00252	DB00337	4
DB00615	DB00184	4
DB00615	DB00185	4
DB00252	DB00332	4
DB01045	DB00938	4
DB00615	DB00180	4
DB01045	DB00248	4
DB00794	DB04898	4
DB01045	DB00246	4
DB01045	DB00245	4
DB01045	DB00936	4
DB00312	DB01628	4
DB01045	DB00240	4
DB01201	DB00612	4
DB01201	DB00613	4
DB01201	DB00617	4
DB00794	DB09167	4
DB01201	DB00615	4
DB00794	DB05381	4
DB00238	DB00918	4
DB01201	DB11737	4
DB01174	DB01186	4
DB01174	DB01708	4
DB01174	DB01184	4
DB01201	DB01589	4
DB09280	DB01215	4
DB09280	DB01216	4
DB00615	DB00502	4
DB09280	DB01219	4
DB01201	DB01587	4
DB00673	DB00177	4
DB00252	DB00471	4
DB00252	DB01424	4
DB00252	DB00248	4
DB01320	DB00784	4
DB00615	DB01054	4
DB00312	DB01253	4
DB00252	DB00240	4
DB00252	DB00246	4
DB00615	DB00297	4
DB00615	DB00294	4
DB00252	DB00245	4
